Summary,Precip_Type,Temperature (C),Apparent_Temperature_C,Humidity,Visibility (km),Pressure (millibars)
Mostly Cloudy,rain,9.983333333,9.283333333,0.89,15.8263,1012.71
Mostly Cloudy,rain,11.02222222,11.02222222,0.86,9.982,1013.01
Partly Cloudy,rain,13.53888889,13.53888889,0.75,9.982,1013.23
Partly Cloudy,rain,13.88888889,13.88888889,0.68,11.2056,1013.31
Partly Cloudy,rain,15,15,0.67,11.2056,1013.4
Partly Cloudy,rain,17.18333333,17.18333333,0.57,11.4471,1013.27
Mostly Cloudy,rain,16.2,16.2,0.62,11.27,1013.02
Mostly Cloudy,rain,17.75,17.75,0.56,11.2056,1013.03
Mostly Cloudy,rain,18.40555556,18.40555556,0.54,15.3594,1012.55
Partly Cloudy,rain,17.82222222,17.82222222,0.59,11.27,1012.03
Partly Cloudy,rain,17.31111111,17.31111111,0.57,11.27,1011.81
Partly Cloudy,rain,17.50555556,17.50555556,0.55,11.4471,1011.33
Mostly Cloudy,rain,17.26666667,17.26666667,0.54,9.982,1011.2
Mostly Cloudy,rain,15.13888889,15.13888889,0.61,9.982,1011.5
Mostly Cloudy,rain,13.25,13.25,0.69,9.982,1011.76
Partly Cloudy,rain,12.29444444,12.29444444,0.72,9.982,1012.01
Partly Cloudy,rain,10.7,10.7,0.79,15.8263,1012.31
Partly Cloudy,rain,9.855555556,9.388888889,0.85,14.9569,1012.51
Partly Cloudy,rain,9.522222222,7.861111111,0.88,11.9784,1012.52
Partly Cloudy,rain,8.405555556,8.405555556,0.92,11.9784,1012.61
Mostly Cloudy,rain,13.01111111,13.01111111,0.82,14.9569,1011.27
Partly Cloudy,rain,7.733333333,7.733333333,0.96,4.2987,1012.54
Partly Cloudy,rain,6.138888889,6.138888889,0.96,4.1216,1012.44
Partly Cloudy,rain,6.472222222,6.472222222,0.95,4.7656,1012.62
Foggy,rain,6.627777778,6.627777778,0.96,2.9302,1012.75
Clear,rain,8.688888889,8.688888889,0.93,5.8443,1012.96
Partly Cloudy,rain,11.99444444,11.99444444,0.81,9.6117,1013.38
Partly Cloudy,rain,13.76666667,13.76666667,0.78,9.6761,1013.14
Partly Cloudy,rain,15.08888889,15.08888889,0.77,9.9015,1013.33
Partly Cloudy,rain,16.45555556,16.45555556,0.68,11.0768,1013.56
Partly Cloudy,rain,17.31111111,17.31111111,0.62,11.27,1013.61
Partly Cloudy,rain,17.87222222,17.87222222,0.64,11.27,1013.11
Partly Cloudy,rain,19.03888889,19.03888889,0.47,11.4471,1012.69
Partly Cloudy,rain,18.97777778,18.97777778,0.51,11.27,1012.2
Partly Cloudy,rain,19.00555556,19.00555556,0.55,11.2056,1011.7
Mostly Cloudy,rain,19.01111111,19.01111111,0.53,11.3988,1011.4
Mostly Cloudy,rain,17.86666667,17.86666667,0.64,11.2056,1011.32
Mostly Cloudy,rain,17.26666667,17.26666667,0.62,9.982,1011.23
Mostly Cloudy,rain,16.18888889,16.18888889,0.61,10.3523,1011.5
Mostly Cloudy,rain,14.88333333,14.88333333,0.72,9.982,1012.05
Mostly Cloudy,rain,14.32777778,14.32777778,0.75,15.8263,1012.15
Overcast,rain,14.51111111,14.51111111,0.75,14.9569,1012.09
Overcast,rain,14.37222222,14.37222222,0.75,15.8263,1011.83
Overcast,rain,14.87777778,14.87777778,0.72,15.8263,1011.45
Foggy,rain,10.40555556,10.40555556,0.92,2.0125,1012.05
Overcast,rain,12.82222222,12.82222222,0.83,11.2056,1011.18
Overcast,rain,12.8,12.8,0.85,14.9086,1010.07
Overcast,rain,12.82777778,12.82777778,0.86,14.168,1009.83
Overcast,rain,12.26666667,12.26666667,0.85,11.2056,1009.8
Overcast,rain,12.26666667,12.26666667,0.85,11.27,1009.99
Mostly Cloudy,rain,12.18333333,12.18333333,0.82,11.0768,1010.21
Overcast,rain,12.17222222,12.17222222,0.8,11.27,1010.41
Overcast,rain,12.71111111,12.71111111,0.83,11.27,1010.33
Mostly Cloudy,rain,15.60555556,15.60555556,0.78,10.3523,1010.43
Mostly Cloudy,rain,16.02222222,16.02222222,0.78,11.2056,1010.29
Mostly Cloudy,rain,17.2,17.2,0.67,11.2056,1010.1
Overcast,rain,17.21666667,17.21666667,0.71,11.0285,1009.96
Mostly Cloudy,rain,17.82777778,17.82777778,0.69,11.2056,1009.86
Mostly Cloudy,rain,17.82777778,17.82777778,0.69,11.2056,1009.47
Partly Cloudy,rain,17.73333333,17.73333333,0.69,11.0285,1009.63
Mostly Cloudy,rain,16.27222222,16.27222222,0.71,11.2056,1009.39
Overcast,rain,13.16666667,13.16666667,0.93,5.2164,1011.07
Overcast,rain,13.25555556,13.25555556,0.93,8.05,1011.23
Overcast,rain,13.01111111,13.01111111,0.93,9.982,1011.35
Mostly Cloudy,rain,12.45555556,12.45555556,0.91,14.9086,1011.67
Mostly Cloudy,rain,12.48888889,12.48888889,0.9,14.5866,1011.76
Partly Cloudy,rain,11.82777778,11.82777778,0.92,15.8263,1011.68
Foggy,rain,10.76111111,10.76111111,0.91,0.6118,1011.98
Mostly Cloudy,rain,12.15555556,12.15555556,0.95,3.6386,1015.64
Foggy,rain,9.672222222,9.188888889,0.94,0.6118,1012.26
Foggy,rain,8.15,7.15,0.94,0.6118,1012.63
Foggy,rain,10.2,10.2,0.95,1.1109,1012.62
Foggy,rain,10.11666667,10.11666667,0.99,0.5152,1012.85
Foggy,rain,10.16111111,10.16111111,0.99,0.4347,1013.61
Foggy,rain,11.24444444,11.24444444,0.98,0.6923,1013.9
Foggy,rain,12.24444444,12.24444444,0.99,2.2057,1014.31
Overcast,rain,13.91111111,13.91111111,0.92,4.2021,1014.43
Partly Cloudy,rain,15.61666667,15.61666667,0.82,6.3112,1014.73
Partly Cloudy,rain,15.07222222,15.07222222,0.86,6.3434,1014.92
Partly Cloudy,rain,15.07222222,15.07222222,0.82,8.1949,1014.73
Overcast,rain,14.26666667,14.26666667,0.87,6.8908,1014.92
Mostly Cloudy,rain,16.01666667,16.01666667,0.81,7.2772,1014.76
Overcast,rain,15.02777778,15.02777778,0.86,7.2772,1014.37
Overcast,rain,13.94444444,13.94444444,0.89,6.3112,1014.83
Overcast,rain,12.91666667,12.91666667,0.95,4.7495,1015.11
Overcast,rain,12.89444444,12.89444444,0.95,5.2164,1015.14
Overcast,rain,12.4,12.4,0.98,5.8282,1015.5
Clear,rain,12.26666667,12.26666667,0.99,6.1985,1015.76
Mostly Cloudy,rain,12.22222222,12.22222222,0.96,6.1985,1016.35
Mostly Cloudy,rain,11.25,11.25,0.96,3.8318,1016.38
Mostly Cloudy,rain,11.52777778,11.52777778,0.96,4.508,1016.43
Foggy,rain,11.53888889,11.53888889,0.96,3.1234,1016.56
Foggy,rain,9.438888889,8.85,0.96,1.8032,1017.23
Overcast,rain,11.43888889,11.43888889,0.96,3.8801,1016.17
Overcast,rain,11.39444444,11.39444444,0.96,3.864,1016.25
Overcast,rain,11.52777778,11.52777778,0.96,3.2522,1016.13
Foggy,rain,11.95,11.95,0.93,0.644,1016.17
Foggy,rain,11.97222222,11.97222222,1,1.2558,1016.45
Foggy,rain,12.63333333,12.63333333,0.96,2.3506,1016.94
Overcast,rain,12.75555556,12.75555556,0.96,4.025,1017.06
Overcast,rain,13.84444444,13.84444444,0.9,4.4919,1017.45
Overcast,rain,13.17222222,13.17222222,0.94,6.2629,1017.77
Mostly Cloudy,rain,15.06666667,15.06666667,0.86,6.1985,1017.73
Partly Cloudy,rain,17.24444444,17.24444444,0.75,11.27,1017.53
Partly Cloudy,rain,16.31666667,16.31666667,0.76,11.0285,1017.31
Partly Cloudy,rain,17.38333333,17.38333333,0.74,11.27,1016.82
Mostly Cloudy,rain,15.27222222,15.27222222,0.76,11.27,1016.6
Partly Cloudy,rain,17.45555556,17.45555556,0.72,11.0768,1016.39
Partly Cloudy,rain,16.22222222,16.22222222,0.77,11.27,1016.33
Partly Cloudy,rain,15.08333333,15.08333333,0.82,11.27,1016.52
Partly Cloudy,rain,13.99444444,13.99444444,0.88,9.6278,1016.81
Partly Cloudy,rain,12.17222222,12.17222222,0.92,8.1305,1017.34
Foggy,rain,11.08888889,11.08888889,0.95,1.0626,1017.54
Foggy,rain,11.09444444,11.09444444,0.95,1.7871,1017.43
Foggy,rain,9.883333333,9.883333333,0.96,1.0626,1017.65
Clear,rain,9.355555556,8.633333333,0.96,3.3649,1017.56
Clear,rain,9.861111111,9.861111111,0.96,4.4597,1016.16
Foggy,rain,8.272222222,8.272222222,0.99,1.9159,1017.16
Foggy,rain,8.866666667,8.866666667,0.96,1.7549,1017.15
Foggy,rain,8.816666667,8.816666667,0.96,2.3667,1017.28
Foggy,rain,7.155555556,7.155555556,1,0.2898,1017.15
Foggy,rain,8.85,8.85,0.99,1.7549,1017.36
Foggy,rain,11.17777778,11.17777778,0.93,2.5599,1017.7
Mostly Cloudy,rain,12.38888889,12.38888889,0.98,6.2951,1017.72
Mostly Cloudy,rain,14.14444444,14.14444444,0.88,9.982,1017.82
Partly Cloudy,rain,17.1,17.1,0.72,11.0768,1017.77
Partly Cloudy,rain,18.93888889,18.93888889,0.64,11.27,1017.3
Partly Cloudy,rain,17.91666667,17.91666667,0.68,11.27,1016.9
Partly Cloudy,rain,19.98333333,19.98333333,0.53,11.1412,1016.4
Partly Cloudy,rain,20.07222222,20.07222222,0.62,11.27,1015.9
Partly Cloudy,rain,20.07222222,20.07222222,0.56,11.27,1015.29
Partly Cloudy,rain,20.08333333,20.08333333,0.58,11.3988,1014.9
Partly Cloudy,rain,19.08888889,19.08888889,0.63,11.2056,1014.68
Partly Cloudy,rain,17.45,17.45,0.62,11.2056,1014.78
Partly Cloudy,rain,15.56666667,15.56666667,0.74,9.982,1015.04
Clear,rain,12.49444444,12.49444444,0.91,9.982,1015.51
Clear,rain,12.24444444,12.24444444,0.89,15.8263,1015.72
Clear,rain,11.41666667,11.41666667,0.92,14.9569,1015.79
Clear,rain,10.55555556,10.55555556,0.95,14.812,1015.83
Clear,rain,10.46666667,10.46666667,0.93,9.8049,1015.95
Partly Cloudy,rain,10.25,10.25,0.95,4.7495,1017.13
Clear,rain,9.355555556,9.355555556,0.96,4.025,1015.82
Foggy,rain,8.311111111,8.311111111,0.96,2.0286,1015.82
Foggy,rain,8.811111111,8.811111111,0.96,1.7388,1015.89
Foggy,rain,8.733333333,7.933333333,0.93,0.7889,1015.83
Partly Cloudy,rain,11.93333333,11.93333333,0.93,9.8049,1016.12
Partly Cloudy,rain,14.51666667,14.51666667,0.84,9.5473,1016.23
Partly Cloudy,rain,18.73333333,18.73333333,0.68,9.982,1016.23
Partly Cloudy,rain,20.02777778,20.02777778,0.6,9.982,1016.38
Partly Cloudy,rain,21.03888889,21.03888889,0.55,10.0303,1016.66
Partly Cloudy,rain,20.73888889,20.73888889,0.46,15.8746,1016.58
Partly Cloudy,rain,22.31666667,22.31666667,0.48,11.27,1016.27
Partly Cloudy,rain,22.11111111,22.11111111,0.5,11.4471,1015.96
Partly Cloudy,rain,22.73333333,22.73333333,0.38,10.0464,1015.34
Partly Cloudy,rain,22.77777778,22.77777778,0.37,10.0464,1014.7
Partly Cloudy,rain,21.21666667,21.21666667,0.41,11.4471,1015.2
Partly Cloudy,rain,20.18333333,20.18333333,0.45,10.0464,1014.87
Partly Cloudy,rain,18.01111111,18.01111111,0.68,9.982,1014.78
Partly Cloudy,rain,17.42222222,17.42222222,0.65,9.982,1015.54
Partly Cloudy,rain,13.96111111,13.96111111,0.82,9.982,1016.01
Partly Cloudy,rain,13.28888889,13.28888889,0.89,15.8263,1016.52
Partly Cloudy,rain,12.32222222,12.32222222,0.89,9.982,1016.96
Partly Cloudy,rain,11.11666667,11.11666667,0.95,6.2951,1017.04
Partly Cloudy,rain,10.53333333,10.53333333,0.95,6.2951,1017.33
Clear,rain,12.38333333,12.38333333,0.8,14.168,1019.59
Partly Cloudy,rain,9.861111111,9.861111111,0.96,3.8318,1017.25
Partly Cloudy,rain,8.872222222,8.872222222,0.95,3.3649,1017.42
Partly Cloudy,rain,8.672222222,8.672222222,0.94,4.2826,1017.74
Foggy,rain,7.688888889,7.688888889,1,0.7406,1018.13
Clear,rain,10.91111111,10.91111111,0.99,4.1216,1018.62
Clear,rain,14.83888889,14.83888889,0.82,8.3398,1019.08
Clear,rain,18.8,18.8,0.65,9.982,1019.11
Clear,rain,21.09444444,21.09444444,0.49,9.982,1019.5
Partly Cloudy,rain,22.02777778,22.02777778,0.49,11.0285,1019.86
Partly Cloudy,rain,22.82777778,22.82777778,0.47,11.2056,1019.79
Partly Cloudy,rain,22.91666667,22.91666667,0.37,9.982,1019.47
Partly Cloudy,rain,23.91666667,23.91666667,0.37,10.3523,1019.25
Partly Cloudy,rain,23.91111111,23.91111111,0.4,9.982,1018.89
Partly Cloudy,rain,23.93333333,23.93333333,0.37,9.982,1018.6
Partly Cloudy,rain,23.91666667,23.91666667,0.32,10.3523,1018.67
Partly Cloudy,rain,22.82222222,22.82222222,0.44,9.982,1018.59
Partly Cloudy,rain,21.22777778,21.22777778,0.48,9.982,1018.67
Partly Cloudy,rain,19.07777778,19.07777778,0.51,9.982,1019.22
Partly Cloudy,rain,17.06111111,17.06111111,0.63,9.982,1019.88
Clear,rain,14.90555556,14.90555556,0.72,15.8263,1019.91
Clear,rain,13.08333333,13.08333333,0.87,14.9569,1020.02
Clear,rain,12.71111111,12.71111111,0.89,15.8263,1020.11
Clear,rain,12.12777778,12.12777778,0.89,14.9086,1020.12
Clear,rain,11.81111111,11.81111111,0.84,14.9569,1018.38
Clear,rain,12.01666667,12.01666667,0.8,14.9086,1019.91
Clear,rain,12.04444444,12.04444444,0.8,14.812,1020.03
Partly Cloudy,rain,10.62777778,10.62777778,0.86,14.0875,1020.39
Clear,rain,9.911111111,8.688888889,0.99,6.118,1020.6
Mostly Cloudy,rain,12.55555556,12.55555556,0.9,9.9015,1020.81
Partly Cloudy,rain,15.00555556,15.00555556,0.78,9.9015,1021.01
Partly Cloudy,rain,17.33888889,17.33888889,0.74,9.982,1020.94
Partly Cloudy,rain,19.1,19.1,0.67,9.982,1020.66
Partly Cloudy,rain,21.26111111,21.26111111,0.57,10.3523,1020.53
Partly Cloudy,rain,22.41111111,22.41111111,0.54,11.2056,1020.16
Mostly Cloudy,rain,22.93888889,22.93888889,0.5,11.2056,1019.95
Mostly Cloudy,rain,23.92777778,23.92777778,0.47,11.3988,1019.43
Mostly Cloudy,rain,23.96111111,23.96111111,0.47,9.982,1018.97
Mostly Cloudy,rain,23.96111111,23.96111111,0.38,9.982,1018.28
Mostly Cloudy,rain,23.11111111,23.11111111,0.42,10.3523,1017.97
Mostly Cloudy,rain,22.82222222,22.82222222,0.44,9.982,1017.68
Mostly Cloudy,rain,21.11111111,21.11111111,0.47,9.982,1017.89
Mostly Cloudy,rain,18.18888889,18.18888889,0.58,10.3523,1017.96
Mostly Cloudy,rain,16.01666667,16.01666667,0.72,9.982,1018.31
Partly Cloudy,rain,15.46666667,15.46666667,0.72,15.8263,1018.6
Partly Cloudy,rain,14.60555556,14.60555556,0.76,14.9569,1018.65
Clear,rain,13.31111111,13.31111111,0.82,15.8263,1018.44
Clear,rain,12.73333333,12.73333333,0.83,15.8263,1018.23
Partly Cloudy,rain,13.78888889,13.78888889,0.77,14.9569,1014.58
Partly Cloudy,rain,10.57777778,10.57777778,0.88,15.8263,1018.11
Partly Cloudy,rain,10.48333333,10.48333333,0.92,15.4721,1017.73
Partly Cloudy,rain,10.28888889,10.28888889,0.91,14.8764,1017.7
Clear,rain,9.972222222,9.972222222,0.92,10.9802,1017.62
Mostly Cloudy,rain,13.63888889,13.63888889,0.9,9.8049,1017.54
Mostly Cloudy,rain,16.73888889,16.73888889,0.74,10.3523,1017.7
Mostly Cloudy,rain,18.83888889,18.83888889,0.65,9.982,1017.78
Mostly Cloudy,rain,21.16111111,21.16111111,0.59,9.982,1017.3
Mostly Cloudy,rain,22.58888889,22.58888889,0.53,10.4006,1017.19
Mostly Cloudy,rain,22.89444444,22.89444444,0.48,11.27,1016.68
Mostly Cloudy,rain,24.00555556,24.00555556,0.47,11.2056,1016.08
Mostly Cloudy,rain,24.00555556,24.00555556,0.35,11.3988,1015.62
Mostly Cloudy,rain,23.97777778,23.97777778,0.44,11.2056,1014.86
Mostly Cloudy,rain,25.04444444,25.04444444,0.32,11.2056,1013.97
Mostly Cloudy,rain,24.07777778,24.07777778,0.35,10.3523,1013.39
Mostly Cloudy,rain,22.38333333,22.38333333,0.45,9.982,1013.18
Mostly Cloudy,rain,21.20555556,21.20555556,0.52,9.982,1013.21
Mostly Cloudy,rain,18.26111111,18.26111111,0.62,10.3523,1013.75
Mostly Cloudy,rain,17.2,17.2,0.67,9.982,1014.13
Partly Cloudy,rain,15.99444444,15.99444444,0.75,9.982,1014.13
Clear,rain,15.96111111,15.96111111,0.79,11.9301,1014.06
Mostly Cloudy,rain,15.44444444,15.44444444,0.72,15.8263,1013.92
Partly Cloudy,rain,14.37222222,14.37222222,0.75,15.8263,1013.82
Mostly Cloudy,rain,13.60555556,13.60555556,0.9,12.0428,1012.67
Partly Cloudy,rain,12.82222222,12.82222222,0.82,15.8263,1013.04
Partly Cloudy,rain,12.75,12.75,0.83,15.8263,1013.03
Partly Cloudy,rain,11.41666667,11.41666667,0.92,15.2628,1012.98
Partly Cloudy,rain,12.33333333,12.33333333,0.86,9.982,1012.83
Mostly Cloudy,rain,14.90555556,14.90555556,0.78,9.982,1013.03
Mostly Cloudy,rain,15.89444444,15.89444444,0.74,9.982,1013.13
Mostly Cloudy,rain,17.22777778,17.22777778,0.72,9.982,1013.13
Mostly Cloudy,rain,17.82777778,17.82777778,0.73,9.982,1013.1
Mostly Cloudy,rain,17.91666667,17.91666667,0.72,9.982,1013.17
Mostly Cloudy,rain,19.05555556,19.05555556,0.67,9.982,1013
Mostly Cloudy,rain,20.14444444,20.14444444,0.67,9.982,1012.69
Mostly Cloudy,rain,20.26111111,20.26111111,0.62,9.982,1012.54
Mostly Cloudy,rain,21.20555556,21.20555556,0.62,9.982,1011.87
Overcast,rain,21.25555556,21.25555556,0.67,9.982,1011.19
Overcast,rain,20.23333333,20.23333333,0.66,9.982,1011.17
Overcast,rain,19.07777778,19.07777778,0.71,9.982,1011.08
Mostly Cloudy,rain,17.94444444,17.94444444,0.77,9.982,1011.28
Mostly Cloudy,rain,15.49444444,15.49444444,0.82,11.0285,1012.08
Mostly Cloudy,rain,14.14444444,14.14444444,0.89,9.9015,1012.64
Mostly Cloudy,rain,14.53888889,14.53888889,0.86,11.8979,1012.79
Mostly Cloudy,rain,14.13888889,14.13888889,0.86,11.6886,1012.79
Mostly Cloudy,rain,13.4,13.4,0.9,11.9784,1012.56
Mostly Cloudy,rain,13.42777778,13.42777778,0.9,11.9784,1012.8
Partly Cloudy,rain,11.58888889,11.58888889,0.74,14.9569,1009.9
Mostly Cloudy,rain,14.42222222,14.42222222,0.83,14.9086,1011.91
Mostly Cloudy,rain,13.91666667,13.91666667,0.86,14.812,1011.72
Mostly Cloudy,rain,13.4,13.4,0.9,14.0875,1011.51
Overcast,rain,13.86666667,13.86666667,0.9,9.9015,1011.51
Mostly Cloudy,rain,14.90555556,14.90555556,0.84,9.7566,1011.6
Mostly Cloudy,rain,15.93333333,15.93333333,0.74,9.4346,1011.59
Mostly Cloudy,rain,17.12777778,17.12777778,0.65,9.9015,1011.41
Mostly Cloudy,rain,18.75,18.75,0.58,9.9015,1011.2
Mostly Cloudy,rain,18.96111111,18.96111111,0.6,9.982,1011.25
Mostly Cloudy,rain,19.99444444,19.99444444,0.54,10.0464,1010.98
Mostly Cloudy,rain,21.11111111,21.11111111,0.5,10.0464,1010.48
Mostly Cloudy,rain,21.09444444,21.09444444,0.46,10.4006,1010.24
Partly Cloudy,rain,21.17777778,21.17777778,0.43,10.0464,1009.55
Partly Cloudy,rain,21.22777778,21.22777778,0.41,11.27,1009.04
Partly Cloudy,rain,20.1,20.1,0.45,11.4471,1008.55
Mostly Cloudy,rain,19.02777778,19.02777778,0.51,11.27,1008.17
Mostly Cloudy,rain,17.85,17.85,0.59,11.2056,1008.46
Mostly Cloudy,rain,16.26111111,16.26111111,0.66,9.9015,1008.94
Partly Cloudy,rain,14.98333333,14.98333333,0.72,11.27,1009.55
Mostly Cloudy,rain,14.46666667,14.46666667,0.65,14.812,1009.57
Partly Cloudy,rain,13.94444444,13.94444444,0.6,14.9569,1009.53
Partly Cloudy,rain,12.31666667,12.31666667,0.65,15.8263,1009.56
Partly Cloudy,rain,11.76111111,11.76111111,0.66,15.8263,1009.47
Mostly Cloudy,rain,10.82777778,10.82777778,0.62,14.9569,1011.18
Partly Cloudy,rain,10.13888889,10.13888889,0.73,15.8263,1009.25
Partly Cloudy,rain,10.62777778,10.62777778,0.71,14.9086,1008.87
Partly Cloudy,rain,10.60555556,10.60555556,0.69,14.9569,1008.82
Mostly Cloudy,rain,10.07222222,10.07222222,0.71,9.982,1008.84
Mostly Cloudy,rain,11.16111111,11.16111111,0.71,9.982,1009.07
Partly Cloudy,rain,12.88888889,12.88888889,0.67,10.3523,1009.23
Clear,rain,15.05,15.05,0.6,11.2056,1009.25
Mostly Cloudy,rain,15.16111111,15.16111111,0.59,9.982,1009.44
Mostly Cloudy,rain,16.27222222,16.27222222,0.56,10.3523,1009.76
Mostly Cloudy,rain,17.8,17.8,0.46,9.982,1009.34
Mostly Cloudy,rain,17.93888889,17.93888889,0.46,9.982,1009.14
Mostly Cloudy,rain,18.85555556,18.85555556,0.41,10.3523,1009.01
Mostly Cloudy,rain,17.98888889,17.98888889,0.43,9.982,1008.83
Mostly Cloudy,rain,17.96111111,17.96111111,0.51,9.982,1008.43
Mostly Cloudy,rain,17.36111111,17.36111111,0.47,10.3523,1008.7
Mostly Cloudy,rain,16.25,16.25,0.52,9.982,1009.03
Mostly Cloudy,rain,14.12222222,14.12222222,0.47,9.982,1009.42
Mostly Cloudy,rain,12.95,12.95,0.55,10.3523,1010.18
Mostly Cloudy,rain,12.24444444,12.24444444,0.52,9.982,1010.85
Mostly Cloudy,rain,11.68888889,11.68888889,0.57,15.8263,1011.08
Mostly Cloudy,rain,11.15555556,11.15555556,0.59,14.9569,1011.22
Mostly Cloudy,rain,11.6,11.6,0.57,15.8263,1011.68
Mostly Cloudy,rain,11.02222222,11.02222222,0.6,15.8263,1011.79
Mostly Cloudy,rain,11.88888889,11.88888889,0.6,14.9569,1013.76
Mostly Cloudy,rain,10.41666667,10.41666667,0.64,15.8263,1011.39
Mostly Cloudy,rain,10.3,10.3,0.67,15.8263,1011.42
Mostly Cloudy,rain,9.483333333,7.5,0.72,14.9569,1011.65
Mostly Cloudy,rain,9.772222222,7.933333333,0.68,9.982,1011.83
Mostly Cloudy,rain,10.93333333,10.93333333,0.67,9.982,1012.42
Mostly Cloudy,rain,11.65555556,11.65555556,0.66,15.3111,1012.96
Mostly Cloudy,rain,13.93888889,13.93888889,0.55,9.982,1012.97
Mostly Cloudy,rain,15.02777778,15.02777778,0.54,9.982,1013.36
Mostly Cloudy,rain,16.03888889,16.03888889,0.47,11.4471,1013.41
Mostly Cloudy,rain,15.22777778,15.22777778,0.51,11.2056,1013.34
Mostly Cloudy,rain,16.20555556,16.20555556,0.44,11.2056,1013.62
Partly Cloudy,rain,17.3,17.3,0.43,11.3988,1013.28
Partly Cloudy,rain,17.77777778,17.77777778,0.43,11.2056,1012.98
Partly Cloudy,rain,17.8,17.8,0.38,11.2056,1012.5
Partly Cloudy,rain,17.26111111,17.26111111,0.39,11.3988,1012.61
Mostly Cloudy,rain,17.2,17.2,0.38,11.2056,1012.88
Mostly Cloudy,rain,15.02222222,15.02222222,0.45,9.982,1012.98
Mostly Cloudy,rain,13.92777778,13.92777778,0.47,10.3523,1013.73
Mostly Cloudy,rain,12.36666667,12.36666667,0.57,9.982,1014.17
Mostly Cloudy,rain,12.29444444,12.29444444,0.59,15.8263,1014.46
Mostly Cloudy,rain,12.78888889,12.78888889,0.56,15.3111,1014.45
